# Ellipse table for galaxy UGC1317
# Zeropoint: 30.0022
#SMA        INT         INT_ERR     PA           PA_ERR      ELLIP       ELLIP_ERR   TFLUX       TFLUX_ERR   NPIX        NDATA       X0          Y0          FLAG        
#ARCSEC     W/m2/strad/arcsec2W/m2/strad/arcsec2DEGREE       DEGREE      NO DIM      NO DIM      W/m2        W/m2        NUMBER      NUMBER      PIXEL       :PIXEL       
9.256439250000000341e-01 5.063528497475505450e-08 2.355300393322755987e-10 -7.609699999999999420e+01 4.165236000000000161e+00 6.685330000000000439e-01 6.256894000000000344e-02 7.236963510602208662e-08 1.240362380998024479e-10 3.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.018208660000000210e+00 5.038131011936118219e-08 2.511502300354832536e-10 -7.609699999999999420e+01 4.530774000000000079e+00 6.685330000000000439e-01 6.805993999999999933e-02 7.236963510602208662e-08 1.240362380998024479e-10 3.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.120029800000000186e+00 5.010278505986228967e-08 2.691914284638679985e-10 -7.609699999999999420e+01 4.914882999999999669e+00 6.685330000000000439e-01 7.382990999999999859e-02 7.236963510602208662e-08 1.240362380998024479e-10 3.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.232032780000000161e+00 4.979745437100318867e-08 2.898278448957015065e-10 -7.609699999999999420e+01 5.137474000000000096e+00 6.685330000000000439e-01 7.717359000000000024e-02 7.236963510602208662e-08 1.240362380998024479e-10 3.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.355235509999999977e+00 4.945236432720325094e-08 3.140167621158421956e-10 -7.609699999999999420e+01 5.553531999999999691e+00 6.685330000000000439e-01 8.342349999999999766e-02 7.236963510602208662e-08 1.240362380998024479e-10 3.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.490759335000000130e+00 4.907775415993068510e-08 3.405740887458590657e-10 -7.609699999999999420e+01 4.944225999999999566e+00 6.685330000000000439e-01 7.455643000000000686e-02 7.236963510602208662e-08 1.240362380998024479e-10 3.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.639835200000000270e+00 4.861513250891737074e-08 3.697895891266716589e-10 -7.609699999999999420e+01 4.469524999999999970e+00 6.685330000000000439e-01 6.752371999999999541e-02 7.236963510602208662e-08 1.240362380998024479e-10 3.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.803818720000000209e+00 4.805948953576461883e-08 3.987615427635704748e-10 -7.609699999999999420e+01 2.262564999999999937e+00 6.685330000000000439e-01 3.445932000000000162e-02 1.616816068440461552e-07 1.869159062477287426e-10 7.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.984201140000000363e+00 4.693218607824425760e-08 4.178924352364592789e-10 -7.609699999999999420e+01 3.677392999999999912e+00 6.685330000000000439e-01 5.250110999999999667e-02 2.038982067981518107e-07 2.106833341589115692e-10 9.000000000000000000e+00 1.400000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
2.182620980000000266e+00 4.615260732057411792e-08 4.465201817233096245e-10 -7.609699999999999420e+01 2.221130000000000049e+00 6.685330000000000439e-01 3.221761000000000069e-02 2.510975356728711912e-07 2.334609868404697099e-10 1.100000000000000000e+01 1.400000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
2.400883214999999904e+00 4.483682615787994395e-08 4.563419294244690948e-10 -7.609699999999999420e+01 3.026969999999999938e+00 6.685330000000000439e-01 4.246686000000000211e-02 2.883666210001839705e-07 2.515790159829691002e-10 1.300000000000000000e+01 1.500000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
2.640971605000000277e+00 4.361986455658738036e-08 4.824819241316528481e-10 -7.609699999999999420e+01 2.497666999999999859e+00 6.685330000000000439e-01 3.540506999999999682e-02 3.713627780243868497e-07 2.863556489787169491e-10 1.700000000000000000e+01 1.500000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
2.905068560000000133e+00 4.204800280961066209e-08 4.879596123840068604e-10 -7.609699999999999420e+01 2.687021000000000104e+00 6.685330000000000439e-01 3.732226000000000293e-02 4.040057728110588143e-07 3.002808493638936972e-10 1.900000000000000000e+01 1.600000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
3.195575690000000080e+00 4.046745867337727136e-08 4.902461672909789826e-10 -7.609699999999999420e+01 2.697640999999999956e+00 6.685330000000000439e-01 3.677376000000000256e-02 4.040057728110588143e-07 3.002808493638936972e-10 1.900000000000000000e+01 1.700000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
3.515132985000000154e+00 3.880209657588832703e-08 4.879540340010077076e-10 -7.609699999999999420e+01 2.765813000000000077e+00 6.685330000000000439e-01 3.808046999999999821e-02 5.498697931870432216e-07 3.533987526237612796e-10 2.700000000000000000e+01 1.800000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
3.866646900000000109e+00 3.715577585621743442e-08 4.764813566191210877e-10 -7.609699999999999420e+01 2.438308999999999838e+00 6.685330000000000439e-01 3.430111000000000271e-02 6.496690686311079708e-07 3.868436407905687841e-10 3.300000000000000000e+01 1.900000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
4.253311590000000919e+00 3.529126769250253664e-08 4.566425164577903059e-10 -7.609699999999999420e+01 2.482909999999999950e+00 6.685330000000000439e-01 3.464816999999999897e-02 7.826779518342280292e-07 4.273759072234615219e-10 4.100000000000000000e+01 2.100000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
4.678642475000000189e+00 3.347811536225287416e-08 4.216340251067393984e-10 -7.609699999999999420e+01 2.444141000000000119e+00 6.685330000000000439e-01 3.425034999999999885e-02 8.721943725174939395e-07 4.539071679111878985e-10 4.700000000000000000e+01 2.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
5.146507065000000658e+00 3.174509050710860632e-08 3.924092072858655092e-10 -7.609699999999999420e+01 1.973460999999999910e+00 6.685330000000000439e-01 2.796707999999999833e-02 1.037707172777700976e-06 5.009849633023528803e-10 5.900000000000000000e+01 2.500000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
5.661157840000000441e+00 2.974103539054791580e-08 3.504331437718853046e-10 -7.609699999999999420e+01 2.054517999999999844e+00 6.685330000000000439e-01 2.864826999999999999e-02 1.230282064184195413e-06 5.507835285165122066e-10 7.300000000000000000e+01 2.800000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
6.227274035000000652e+00 2.793671514592139902e-08 3.153781020358722419e-10 -7.609699999999999420e+01 1.981122999999999967e+00 6.685330000000000439e-01 2.747700999999999963e-02 1.381150026346619214e-06 5.885213132576376309e-10 8.500000000000000000e+01 3.100000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
6.850000000000000533e+00 2.620517727468431007e-08 2.792640741061781311e-10 -7.609699999999999420e+01 1.958072999999999952e+00 6.685330000000000439e-01 2.722965999999999928e-02 1.568653029237506858e-06 6.339218759491995725e-10 1.010000000000000000e+02 3.400000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
7.535000000000000142e+00 2.465581988147052534e-08 2.475428292635166374e-10 -7.609699999999999420e+01 1.722429999999999906e+00 6.685330000000000439e-01 2.418392000000000111e-02 1.877705753309040444e-06 7.045770515436369494e-10 1.290000000000000000e+02 3.700000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
8.288500000000000867e+00 2.315897597362285941e-08 2.192745133607000905e-10 -7.609699999999999420e+01 1.627054999999999918e+00 6.685330000000000439e-01 2.269880000000000161e-02 2.074773276828796395e-06 7.463308413800960156e-10 1.470000000000000000e+02 4.100000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
9.117350000000001842e+00 2.182118944505404789e-08 1.979445471934535423e-10 -7.609699999999999420e+01 1.516559999999999908e+00 6.685330000000000439e-01 2.120038999999999951e-02 2.476828730326896673e-06 8.287547795144056385e-10 1.870000000000000000e+02 4.500000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.002908500000000025e+01 2.061859869494492755e-08 1.803583762773523969e-10 -7.609699999999999420e+01 1.321974999999999900e+00 6.685330000000000439e-01 1.865170000000000022e-02 2.775570034851420243e-06 8.874852255557889928e-10 2.190000000000000000e+02 4.900000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.103199350000000045e+01 1.948118574280733009e-08 1.643290870475873508e-10 -7.609699999999999420e+01 1.160406999999999966e+00 6.685330000000000439e-01 1.634516999999999914e-02 3.244808460692389747e-06 9.742962423943529033e-10 2.710000000000000000e+02 5.400000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.213519285000000281e+01 1.844654433614681173e-08 1.510584322172635819e-10 -7.609699999999999420e+01 9.215967999999999938e-01 6.685330000000000439e-01 1.306375000000000071e-02 3.722918359890220792e-06 1.058142953301562310e-09 3.270000000000000000e+02 5.900000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.334871829999999981e+01 1.742733163499294041e-08 1.406651583301943192e-10 -7.609699999999999420e+01 6.690979999999999706e-01 6.685330000000000439e-01 9.471191999999999805e-03 4.246626555109401088e-06 1.145158110551174493e-09 3.910000000000000000e+02 6.500000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.468358465000000201e+01 1.632520710631688761e-08 1.348941580451344333e-10 -7.609699999999999420e+01 5.724116999999999678e-01 6.685330000000000439e-01 8.156963999999999188e-03 4.894076935919721238e-06 1.248070434375106599e-09 4.750000000000000000e+02 7.100000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
