# Ellipse table for galaxy UGC1317
# Zeropoint: 30.0022
#SMA        INT         INT_ERR     PA           PA_ERR      ELLIP       ELLIP_ERR   TFLUX       TFLUX_ERR   NPIX        NDATA       X0          Y0          FLAG        
#ARCSEC     W/m2/strad/arcsec2W/m2/strad/arcsec2DEGREE       DEGREE      NO DIM      NO DIM      W/m2        W/m2        NUMBER      NUMBER      PIXEL       :PIXEL       
1.803818720000000209e+00 4.341118782169463241e-08 1.451922244338049034e-10 -7.764526999999999646e+01 4.586525000000000185e-01 2.892061000000000215e-01 3.912101000000000293e-03 3.456741379921493015e-07 2.734245238940768069e-10 1.500000000000000000e+01 1.400000000000000000e+01 5.640193000000000438e+02 4.247028999999999996e+02 0.000000000000000000e+00
1.984200455000000307e+00 4.163587873289467252e-08 1.439098501938870008e-10 -7.812389000000000294e+01 7.895054000000000238e-01 2.843024000000000107e-01 6.374913999999999754e-03 4.243484428626183777e-07 3.047790896879649173e-10 1.900000000000000000e+01 1.600000000000000000e+01 5.640756999999999834e+02 4.246512000000000171e+02 0.000000000000000000e+00
2.182620294999999988e+00 3.984807498737132899e-08 1.420418924223766590e-10 -7.843813000000000102e+01 6.928900999999999533e-01 2.822754000000000096e-01 5.750909000000000229e-03 5.371579950479363538e-07 3.455261210903001261e-10 2.500000000000000000e+01 1.700000000000000000e+01 5.640937000000000126e+02 4.246139999999999759e+02 0.000000000000000000e+00
2.400882530000000070e+00 3.822693319654474813e-08 1.404643971581611957e-10 -7.897451999999999828e+01 6.209592999999999918e-01 2.956181999999999976e-01 5.221291999999999774e-03 5.742060544885012491e-07 3.579758337732381028e-10 2.700000000000000000e+01 1.900000000000000000e+01 5.641407000000000380e+02 4.245690999999999917e+02 0.000000000000000000e+00
2.640970920000000000e+00 3.621761874764123875e-08 1.386783295109815607e-10 -7.957308000000000447e+01 7.533547999999999911e-01 2.911079999999999779e-01 6.253110000000000092e-03 6.431726870064181417e-07 3.807587202940391556e-10 3.100000000000000000e+01 2.100000000000000000e+01 5.642038000000000011e+02 4.245045000000000073e+02 0.000000000000000000e+00
2.905067874999999855e+00 3.432804143241745110e-08 1.370512443776393068e-10 -8.031297000000000708e+01 8.357660999999999563e-01 2.897816999999999754e-01 6.943928999999999727e-03 8.097227167987154147e-07 4.315884195278827347e-10 4.100000000000000000e+01 2.300000000000000000e+01 5.642826999999999771e+02 4.244180000000000064e+02 0.000000000000000000e+00
3.195574320000000412e+00 3.241404364993960899e-08 1.354937650189356224e-10 -8.118715000000000259e+01 9.491874999999999618e-01 2.911486999999999825e-01 7.992934000000000150e-03 9.366885087550524677e-07 4.673994060376414120e-10 4.900000000000000000e+01 2.500000000000000000e+01 5.643594000000000506e+02 4.243297000000000025e+02 0.000000000000000000e+00
3.515132299999999876e+00 3.062694846721767958e-08 1.340965772594277920e-10 -8.193801000000000556e+01 1.076213000000000086e+00 2.950354000000000032e-01 9.295414000000000107e-03 1.084345976257426077e-06 5.071744026223907130e-10 5.900000000000000000e+01 2.700000000000000000e+01 5.644466999999999643e+02 4.242031999999999812e+02 0.000000000000000000e+00
3.866645530000000441e+00 2.890895312726942264e-08 1.328993992264353645e-10 -8.303831999999999880e+01 1.247012000000000009e+00 3.019547000000000203e-01 1.081348000000000031e-02 1.224578940720842340e-06 5.431355251887902937e-10 6.900000000000000000e+01 3.000000000000000000e+01 5.645564000000000533e+02 4.240742000000000189e+02 0.000000000000000000e+00
4.253310220000000363e+00 2.720096748436073546e-08 1.322494904701334117e-10 -8.321939000000000419e+01 1.439808999999999894e+00 3.054319999999999813e-01 1.294559999999999982e-02 1.435507409680720720e-06 5.946679482164184218e-10 8.500000000000000000e+01 3.200000000000000000e+01 5.646539000000000215e+02 4.239386999999999830e+02 0.000000000000000000e+00
4.678641790000000356e+00 2.555831931554783288e-08 1.322329110763567826e-10 -8.271371999999999503e+01 1.720491999999999910e+00 3.122513000000000094e-01 1.574597000000000149e-02 1.609477259760137524e-06 6.352301219657234894e-10 9.900000000000000000e+01 3.500000000000000000e+01 5.647355000000000018e+02 4.237896999999999821e+02 0.000000000000000000e+00
5.146505695000000102e+00 2.404181528490061549e-08 1.316024714430069698e-10 -8.184882000000000346e+01 1.882552000000000003e+00 3.225859999999999839e-01 1.730968999999999910e-02 1.884691014225604628e-06 6.971072452094882624e-10 1.230000000000000000e+02 3.900000000000000000e+01 5.647661000000000513e+02 4.236374999999999886e+02 0.000000000000000000e+00
5.661156470000000773e+00 2.260044885047566080e-08 1.309918428954557854e-10 -8.071850999999999487e+01 2.132641000000000009e+00 3.355677000000000243e-01 2.041787999999999936e-02 2.102941902234374414e-06 7.437575062265648930e-10 1.430000000000000000e+02 4.200000000000000000e+01 5.647462000000000444e+02 4.234775999999999954e+02 0.000000000000000000e+00
